,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
4282,Stanford University (SU),Political Science,1.4,2018-2019,1st,"5K summer, 1K for discretionary support, healthcare benefits ",1,2018,40350,0,34350,6000,40350,HistPolSoc,HistPolSoc,high,0,0,Stanford University SU_HistPolSoc
4283,University of California - Los Angeles (UCLA),political science,1.12,2018-2019,1st,,1,2018,29000,0,25000,4000,29000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
4284,University of California - Los Angeles (UCLA),political science,0.69,2018-2019,1st,,1,2018,17794,0,25000,4000,29000,HistPolSoc,HistPolSoc,high,11206,11206,University of California - Los Angeles UCLA_HistPolSoc
4286,University of Wisconsin - Madison (UW),Chemistry,1.14,2018-2019,3rd,,3,2018,26000,26500,0,0,26500,Chemistry,Chemistry,low,500,500,University of Wisconsin - Madison UW_Chemistry
4287,University of Wisconsin - Madison (UW),Sociology,0.97,2018-2019,1st,,1,2018,22100,22100,0,0,22100,HistPolSoc,HistPolSoc,low,0,0,University of Wisconsin - Madison UW_HistPolSoc
4299,Virginia Tech,Civil Engineering,2.07,2018-2019,1st,,1,2018,43692,43992,0,0,43992,Engineering,Engineering,low,300,300,Virginia Tech_Engineering
4319,University of Illinois - Urbana- Champaign (UIUC),Accounting,1.36,2018-2019,1st,,1,2018,30000,30000,0,0,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Illinois - Urbana- Champaign UIUC_MathematicsAndComputer Science
4320,University of Colorado - Boulder (UCB),Engineering,1.31,2018-2019,2nd,,2,2018,33500,36000,0,0,36000,Engineering,Engineering,low,2500,2500,University of Colorado - Boulder UCB_Engineering
4324,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.44,2015-2016,2nd,,2,2015,33500,33500,0,0,33500,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering
4331,Northwestern University (NU),Chemical and Biological Engineering,1.29,2017-2018,5th,,5,2017,31360,31800,0,0,31800,Engineering,Engineering,low,440,440,Northwestern University NU_Engineering
4337,Carnegie Mellon University (CMU),Chemical Engineering,1.4,2017-2018,1st,,1,2017,29000,29000,0,0,29000,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering
4340,Massachusetts Institute of Technology (MIT),Physics,0.12,2017-2018,1st,,1,2017,3250,3250,0,0,3250,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
4346,University of Southern California (USC),Linguistics,1.56,2017-2018,3rd,Summer funding not guaranteed (but I've gotten it every summer so far),3,2017,40438,0,34000,6500,40500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,62,62,University of Southern California USC_LinguisticsAndCommunication
4366,Indiana University,Public Policy,0.84,2017-2018,1st,,1,2017,18200,20000,0,0,20000,HistPolSoc,HistPolSoc,low,1800,1800,Indiana University_HistPolSoc
4376,Purdue University - West Lafayette,Chemical Engineering,1.56,2017-2018,1st,,1,2017,33000,33000,0,0,33000,Engineering,Engineering,low,0,0,Purdue University - West Lafayette_Engineering
4381,University of Texas - Austin (UT),Cell and Molecular Biology,1.31,2017-2018,5th,,5,2017,30000,30000,0,0,30000,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology
4401,University of Virginia (UVA),Politics,1.02,2014-2015,1st,,1,2014,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of Virginia UVA_HistPolSoc
4405,Vanderbilt University,History,1.13,2017-2018,1st,Additional Provost's Fellowship of 5K,1,2017,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc
4410,University of California - Los Angeles (UCLA),psychology,0.46,2016-2017,4th,,4,2016,12000,0,12000,0,12000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
4447,University of Texas - Austin (UT),Aerospace Engineering,1.12,2017-2018,1st,,1,2017,25525,25525,0,0,25525,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering
4452,Emory University,Biochemistry,1.28,2017-2018,1st,,1,2017,29700,30000,0,0,30000,Chemistry,Chemistry,low,300,300,Emory University_Chemistry
4453,Vanderbilt University,Political Science,1.13,2017-2018,1st,,1,2017,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc
4456,University of Southern California (USC),Psychology ,1.49,2017-2018,1st,,1,2017,38500,0,30000,8500,38500,HistPolSoc,HistPolSoc,high,0,0,University of Southern California USC_HistPolSoc
4457,California Institute of Technology (Caltech),Mechanical Engineering,1.35,2017-2018,1st,,1,2017,35000,35000,0,0,35000,Engineering,Engineering,low,0,0,California Institute of Technology Caltech_Engineering
4461,University of Chicago (UC),Social Work,1.06,2014-2015,4th,,4,2014,23000,0,23000,0,23000,HistPolSoc,HistPolSoc,high,0,0,University of Chicago UC_HistPolSoc
4472,University of Texas - Austin (UT),Biology,1.31,2017-2018,4th,,4,2017,30000,30000,0,0,30000,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology
4484,University of Washington (UW),Chemistry,1.3,2017-2018,5th,,5,2017,30154,31300,0,0,31300,Chemistry,Chemistry,low,1146,1146,University of Washington UW_Chemistry
4493,University of California - Irvine (UCI),Sociology,0.75,2017-2018,1st,"Funding is promised for 6 years. The base package includes a $15,000 out-of-state tuition waiver for the first year, a $2,000 dollar summer stipend before the first year,  and health insurance (Includes vision and dental!). ",1,2017,21884,0,20653,2000,22653,HistPolSoc,HistPolSoc,high,769,769,University of California - Irvine UCI_HistPolSoc
4494,Yale University (YU),Genetics,1.4,2017-2018,4th,,4,2017,34600,34600,0,0,34600,Biology,Biology,low,0,0,Yale University YU_Biology
4496,University of Maryland - College Park (UMD),Electrical Engineering,0.6,2017-2018,1st,9 month appointment as a Graduate Research Assistant (GRA). 3 months in the summer I will be interning at my professor's company with better payment.,1,2017,18093,0,18093,0,18093,Engineering,Engineering,high,0,0,University of Maryland - College Park UMD_Engineering
4520,University of Chicago (UC),Psychology,1.11,2017-2018,1st,,1,2017,27000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,3000,3000,University of Chicago UC_HistPolSoc
4529,Northwestern University (NU),Political Science,1.14,2016-2017,2nd,,2,2016,27600,27600,0,0,27600,HistPolSoc,HistPolSoc,low,0,0,Northwestern University NU_HistPolSoc
4547,Pennsylvania State University (Penn State),Ecology,1.56,2017-2018,1st,,1,2017,35000,35000,0,0,35000,Geography,Geography,low,0,0,Pennsylvania State University Penn State_Geography
4555,University of Rochester (UR),Computer Science,0.84,2016-2017,1st,,1,2016,18000,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Rochester UR_MathematicsAndComputer Science
4560,University of Chicago (UC),History,0.98,2017-2018,3rd,"In your third year and up, you have TA responsibilities that are stupidly taken out of your stipend amount in the following increments: less $6k in your 3rd and 4th years, less $3k in your 5th. Thus, $25k is not a guarantee base stipend beyond your 2nd year--indeed, if you manage to teach more, it will be more, but if you can't find a position, you will suffer. Health care is covered, but there is a $380/quarter student life fee you pay for every quarter you are on campus, or unless you prove you are living 90 miles away. You apply for the $3k summer dispersement, and it is based on good progress. I do not know of anyone who does not get this. So, in a good year, you make $28k before fees.",3,2017,23860,25000,0,0,25000,HistPolSoc,HistPolSoc,low,1140,1140,University of Chicago UC_HistPolSoc
4565,University of Chicago (UC),Public Policy,1.07,2017-2018,1st,,1,2017,25900,0,27000,0,27000,HistPolSoc,HistPolSoc,high,1100,1100,University of Chicago UC_HistPolSoc
4576,University of Texas - Austin (UT),Government,1.18,2017-2018,1st,,1,2017,27000,27000,0,0,27000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc
4582,Yale University (YU),Biological and Biomedical Sciences,1.42,2017-2018,1st,,1,2017,35150,35150,0,0,35150,Biology,Biology,low,0,0,Yale University YU_Biology
4586,Emory University,Art History,0.99,2016-2017,3rd,,3,2016,23102,24000,0,0,24000,ArtsAndTheology,ArtsAndTheology,low,898,898,Emory University_ArtsAndTheology
4591,University of California - Los Angeles (UCLA),Aerospace Engineering,1.31,2017-2018,2nd,NSF GRFP,2,2017,34000,34000,0,0,34000,Engineering,Engineering,low,0,0,University of California - Los Angeles UCLA_Engineering
4602,University of Minnesota - Twin Cities (UM),Mechanical Engineering,2.03,2017-2018,1st,,1,2017,46500,46500,0,0,46500,Engineering,Engineering,low,0,0,University of Minnesota - Twin Cities UM_Engineering
4609,Yale University (YU),Economics,1.58,2017-2018,1st,,1,2017,39000,39000,0,0,39000,BusinessAndManagement,BusinessAndManagement,low,0,0,Yale University YU_BusinessAndManagement
4618,Georgetown University,Government,1.1,2017-2018,1st,$14.5K each semester and $5K summers (must apply after the first year). One of the best offers out there for poli sci/government ,1,2017,34000,0,29000,5000,34000,HistPolSoc,HistPolSoc,high,0,0,Georgetown University_HistPolSoc
4632,Johns Hopkins University (JHU),Sociology,1.15,2017-2018,1st,,1,2017,29500,29500,0,0,29500,HistPolSoc,HistPolSoc,low,0,0,Johns Hopkins University JHU_HistPolSoc
4633,Brown University,Sociology,1.46,2017-2018,1st,First year covered by a fellowship in lieu of teaching for all incoming students.,1,2017,33180,33180,0,0,33180,HistPolSoc,HistPolSoc,low,0,0,Brown University_HistPolSoc
4637,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,0.95,2017-2018,1st,,1,2017,21200,24000,0,0,24000,Engineering,Engineering,low,2800,2800,University of North Carolina - Chapel Hill UNC_Engineering
4641,University of North Carolina - Chapel Hill (UNC),Political Science,0.9,2017-2018,1st,"Update to the $15k record:
On top of the standard $17k package, received $3k summer funding, exclusion of a $2k student fee.",1,2017,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
4653,Emory University,Neuroscience,1.31,2017-2018,1st,Fees approx ,1,2017,30539,31000,0,0,31000,Medical,Medical,low,461,461,Emory University_Medical
4661,Emory University,Sociology,1.03,2017-2018,1st,,1,2017,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,Emory University_HistPolSoc
4662,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering ,1.57,2017-2018,1st,"$30,000 base stipend (COE RA also awarded for first year, but contract ""nullified"" effect of award ) + $5000, 1 year merit based award. All fees and insurance covered.",1,2017,35000,35000,0,0,35000,Engineering,Engineering,low,0,0,University of North Carolina - Chapel Hill UNC_Engineering
4669,University of Chicago (UC),Sociology,1.65,2017-2018,2nd,,2,2017,40000,0,37000,3000,40000,HistPolSoc,HistPolSoc,high,0,0,University of Chicago UC_HistPolSoc
4670,University of Chicago (UC),Sociology,1.53,2017-2018,1st,,1,2017,37000,0,37000,0,37000,HistPolSoc,HistPolSoc,high,0,0,University of Chicago UC_HistPolSoc
4681,North Carolina State University (NCSU),Biomedical Engineering,1.23,2017-2018,1st,,1,2017,28000,28000,0,0,28000,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering
4694,Drexel University (DU),Physics,0.97,2017-2018,1st,,1,2017,23500,23500,0,0,23500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy
4700,Vanderbilt University,Political Science,1.35,2017-2018,1st,,1,2017,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc
4711,Yale University (YU),Management,1.42,2017-2018,1st,,1,2017,35100,35100,0,0,35100,BusinessAndManagement,BusinessAndManagement,low,0,0,Yale University YU_BusinessAndManagement
4713,Yale University (YU),Sociology,1.25,2017-2018,1st,"""Stipend of at least $31,000 per year while you are enrolled"" - 2018-19.",1,2017,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc
4718,University of California - Los Angeles (UCLA),Psychology,1.57,2016-2017,4th,This was a T32 fellowship on top of serving as a TA every quarter.,4,2016,40610,41000,0,0,41000,HistPolSoc,HistPolSoc,low,390,390,University of California - Los Angeles UCLA_HistPolSoc
4719,University of California - San Diego (UCSD),Sociology,0.76,2017-2018,1st,Includes Health Insurance,1,2017,20000,52121,0,0,52121,HistPolSoc,HistPolSoc,low,32121,32121,University of California - San Diego UCSD_HistPolSoc
4720,Harvard University (HU),Sociology,1.21,2017-2018,1st,,1,2017,34632,0,28860,5772,34632,HistPolSoc,HistPolSoc,high,0,0,Harvard University HU_HistPolSoc
4740,New York University (NYU),Biology,1.21,2016-2017,2nd,,2,2016,36000,36000,0,0,36000,Biology,Biology,low,0,0,New York University NYU_Biology
4748,Drexel University (DU),Environmental Engineering,1.0,2017-2018,1st,,1,2017,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Drexel University DU_Engineering
4761,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.35,2017-2018,1st,,1,2017,31500,31500,0,0,31500,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering
4782,University of Illinois - Urbana- Champaign (UIUC),English,1.14,2016-2017,1st,,1,2016,25000,25000,0,0,25000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication
4784,University of Illinois - Urbana- Champaign (UIUC),English,0.99,2016-2017,1st,,1,2016,21817,21817,0,0,21817,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication
4786,University of Chicago (UC),English,0.74,2016-2017,1st,,1,2016,18000,18000,0,0,18000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Chicago UC_LinguisticsAndCommunication
4787,University of Chicago (UC),English,1.24,2016-2017,1st,,1,2016,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Chicago UC_LinguisticsAndCommunication
4788,University of Chicago (UC),English,1.36,2016-2017,1st,,1,2016,33000,33000,0,0,33000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Chicago UC_LinguisticsAndCommunication
4792,Emory University,English,1.03,2016-2017,1st,,1,2016,24000,24000,0,0,24000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,Emory University_LinguisticsAndCommunication
4808,University of Colorado - Boulder (UCB),English,0.86,2016-2017,1st,,1,2016,22000,22000,0,0,22000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Colorado - Boulder UCB_LinguisticsAndCommunication
4816,University of Southern California (USC),English,1.16,2016-2017,1st,Corrected amount.,1,2016,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Southern California USC_LinguisticsAndCommunication
4817,University of Southern California (USC),English,0.77,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Southern California USC_LinguisticsAndCommunication
4829,University of California - San Diego (UCSD),Mathematics,0.76,2017-2018,2nd,,2,2017,20000,0,20000,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science
4833,Stony Brook University - SUNY,computer science,1.2,2017-2018,1st,,1,2017,33560,0,23560,10000,33560,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,Stony Brook University - SUNY_MathematicsAndComputer Science
4836,University of California - Berkeley,Sociology,1.08,2017-2018,1st,,1,2017,30000,0,28000,2000,30000,HistPolSoc,HistPolSoc,high,0,0,University of California - Berkeley_HistPolSoc
4844,University of Illinois - Urbana- Champaign (UIUC),Mechanical Engineering,1.27,2017-2018,1st,,1,2017,28000,28000,0,0,28000,Engineering,Engineering,low,0,0,University of Illinois - Urbana- Champaign UIUC_Engineering
4851,New York University (NYU),Biology,1.28,2016-2017,4th,,4,2016,38000,38000,0,0,38000,Biology,Biology,low,0,0,New York University NYU_Biology
4852,Cornell University (CU),Physics,1.39,2017-2018,1st,,1,2017,33623,0,28817,4806,33623,PhysicsAndAstronomy,PhysicsAndAstronomy,high,0,0,Cornell University CU_PhysicsAndAstronomy
4868,Northwestern University (NU),Psychology,1.22,2016-2017,3rd,"Sometimes taxed, sometimes not.",3,2016,29550,29880,0,0,29880,HistPolSoc,HistPolSoc,low,330,330,Northwestern University NU_HistPolSoc
4870,University of Pittsburgh,Psychology,0.1,2017-2018,2nd,"Health insurance is included. We only pay vision and dental insurance  ~$30 per month 

Every semester we pay $30 required fees",2,2017,2170,2200,0,0,2200,HistPolSoc,HistPolSoc,low,30,30,University of Pittsburgh_HistPolSoc
4892,University of California - Davis (UCD),Sociology ,0.99,2017-2018,1st,,1,2017,23850,0,20000,4000,24000,HistPolSoc,HistPolSoc,high,150,150,University of California - Davis UCD_HistPolSoc
4893,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,1.01,2017-2018,4th,,4,2017,23536,27000,0,0,27000,Engineering,Engineering,low,3464,3464,Georgia Institute of Technology Georgia Tech_Engineering
4897,Temple University (TU),psychology,1.04,2016-2017,4th,,4,2016,25000,25000,0,0,25000,HistPolSoc,HistPolSoc,low,0,0,Temple University TU_HistPolSoc
4911,Rice University,Anthropology,0.98,2017-2018,1st,,1,2017,21500,21500,0,0,21500,Biology,Biology,low,0,0,Rice University_Biology
4918,California Institute of Technology (Caltech),Bioengineering,1.31,2016-2017,1st,,1,2016,34000,34000,0,0,34000,Engineering,Engineering,low,0,0,California Institute of Technology Caltech_Engineering
4924,Emory University,Neuroscience,1.25,2016-2017,5th,,5,2016,29000,29500,0,0,29500,Medical,Medical,low,500,500,Emory University_Medical
4972,University of Texas - Austin (UT),Mechanical Engineering,1.58,2017-2018,1st,,1,2017,36000,36000,0,0,36000,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering
5006,University of Kentucky (UK),Biochemistry,1.22,2017-2018,5th,,5,2017,25000,25000,0,0,25000,Chemistry,Chemistry,low,0,0,University of Kentucky UK_Chemistry
5014,Rutgers the State University of New Jersey - New Brunswick,History ,0.77,2016-2017,5th,,5,2016,19800,0,21000,0,21000,HistPolSoc,HistPolSoc,high,1200,1200,Rutgers the State University of New Jersey - New Brunswick_HistPolSoc
5019,Duke University (DU),Chemistry,1.33,2017-2018,3rd,,3,2017,29500,29500,0,0,29500,Chemistry,Chemistry,low,0,0,Duke University DU_Chemistry
5022,Duke University (DU),Biochemistry ,1.39,2017-2018,4th,,4,2017,31000,32000,0,0,32000,Chemistry,Chemistry,low,1000,1000,Duke University DU_Chemistry
5035,Stanford University (SU),Psychology,1.33,2017-2018,2nd,,2,2017,38308,38308,0,0,38308,HistPolSoc,HistPolSoc,low,0,0,Stanford University SU_HistPolSoc
5043,Harvard University (HU),Psychology,1.17,2017-2018,2nd,,2,2017,33600,33600,0,0,33600,HistPolSoc,HistPolSoc,low,0,0,Harvard University HU_HistPolSoc
5053,Carnegie Mellon University (CMU),Mechanical Engineering,1.35,2016-2017,3rd,Health insurance not included in the fees. It is about ~$2000 for university-provided insurance.,3,2016,27998,28200,0,0,28200,Engineering,Engineering,low,202,202,Carnegie Mellon University CMU_Engineering
5054,Johns Hopkins University (JHU),Political Science,1.13,2016-2017,1st,,1,2016,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,Johns Hopkins University JHU_HistPolSoc
5072,Michigan State University (MSU),Psychology ,1.3,2010-2011,1st,"I had a University Distinguishing Fellowship, which provided my stipend for the first and last year and the three years in between I had to TA/GA.",1,2010,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,Michigan State University MSU_HistPolSoc
5082,University of California - San Diego (UCSD),Mechanical engineering,0.09,2017-2018,1st,,1,2017,2400,2400,0,0,2400,Engineering,Engineering,low,0,0,University of California - San Diego UCSD_Engineering
5086,University of North Carolina - Chapel Hill (UNC),Neuroscience,1.39,2017-2018,2nd,,2,2017,31000,31000,0,0,31000,Medical,Medical,low,0,0,University of North Carolina - Chapel Hill UNC_Medical
5105,University of Wisconsin - Madison (UW),Political Science,0.88,2016-2017,1st,,1,2016,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of Wisconsin - Madison UW_HistPolSoc
5175,Northeastern University (NU),Sociology,0.9,2016-2017,2nd,,2,2016,25750,0,24000,2000,26000,HistPolSoc,HistPolSoc,high,250,250,Northeastern University NU_HistPolSoc
5177,University of California - San Diego (UCSD),Sociology,0.76,2017-2018,1st,,1,2017,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of California - San Diego UCSD_HistPolSoc
5178,University of Michigan - Ann Arbor (UM),Chemical Engineering,1.43,2017-2018,2nd,,2,2017,33052,33052,0,0,33052,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
5182,University of Wisconsin - Madison (UW),math,0.92,2017-2018,1st,,1,2017,21000,0,21000,0,21000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Wisconsin - Madison UW_MathematicsAndComputer Science
5191,University of California - San Diego (UCSD),Sociology,0.83,2017-2018,1st,,1,2017,22000,22000,0,0,22000,HistPolSoc,HistPolSoc,low,0,0,University of California - San Diego UCSD_HistPolSoc
5205,University of South Carolina (USC),Chemistry,1.06,2017-2018,1st,,1,2017,24000,24000,0,0,24000,Chemistry,Chemistry,low,0,0,University of South Carolina USC_Chemistry
5208,Michigan State University (MSU),Psychology,1.36,2011-2012,1st,,1,2011,25000,25000,0,0,25000,HistPolSoc,HistPolSoc,low,0,0,Michigan State University MSU_HistPolSoc
5209,Michigan State University (MSU),Psychology,1.25,2007-2008,1st,,1,2007,23000,23000,0,0,23000,HistPolSoc,HistPolSoc,low,0,0,Michigan State University MSU_HistPolSoc
5210,University of California - Irvine (UCI),Sociology,0.68,2017-2018,1st,,1,2017,19884,20653,0,0,20653,HistPolSoc,HistPolSoc,low,769,769,University of California - Irvine UCI_HistPolSoc
5218,University of California - Berkeley,Political Science,1.15,2017-2018,1st,Student health insurance also covered,1,2017,32000,0,27000,5000,32000,HistPolSoc,HistPolSoc,high,0,0,University of California - Berkeley_HistPolSoc
5219,University of Illinois - Urbana- Champaign (UIUC),Communication,0.77,2017-2018,1st,,1,2017,16900,0,16900,0,16900,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication
5220,University of Chicago (UC),Economics,1.65,2017-2018,1st,,1,2017,40000,40000,0,0,40000,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Chicago UC_BusinessAndManagement
5222,University of Chicago (UC),Comparative Literature,1.28,2017-2018,1st,,1,2017,31000,0,28000,3000,31000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Chicago UC_LinguisticsAndCommunication
5226,Temple University (TU),Political Science,0.75,2017-2018,1st,2018-2019,1,2017,18000,18000,0,0,18000,HistPolSoc,HistPolSoc,low,0,0,Temple University TU_HistPolSoc
5229,University of Chicago (UC),Political Science,1.34,2017-2018,1st,,1,2017,32400,0,29400,3000,32400,HistPolSoc,HistPolSoc,high,0,0,University of Chicago UC_HistPolSoc
5230,University of Washington (UW),Political Science,0.87,2017-2018,1st,,1,2017,20196,0,20655,0,20655,HistPolSoc,HistPolSoc,high,459,459,University of Washington UW_HistPolSoc
5235,University of North Carolina - Chapel Hill (UNC),Political Science,0.68,2017-2018,1st,,1,2017,15014,0,17000,0,17000,HistPolSoc,HistPolSoc,high,1986,1986,University of North Carolina - Chapel Hill UNC_HistPolSoc
5246,University of North Carolina - Chapel Hill (UNC),political science,0.76,2017-2018,1st,,1,2017,17000,0,17000,0,17000,HistPolSoc,HistPolSoc,high,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
5247,University of Minnesota - Twin Cities (UM),Psychology,0.84,2017-2018,5th,,5,2017,19150,0,16750,4000,20750,HistPolSoc,HistPolSoc,high,1600,1600,University of Minnesota - Twin Cities UM_HistPolSoc
5253,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,0.81,2017-2018,1st,,1,2017,18000,28000,0,0,28000,Engineering,Engineering,low,10000,10000,University of North Carolina - Chapel Hill UNC_Engineering
5257,University of California - Los Angeles (UCLA),history,1.16,2017-2018,1st,,1,2017,30000,0,24000,6000,30000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
5258,University of California - Los Angeles (UCLA),history,1.16,2017-2018,6th and up,,6,2017,30000,0,24000,6000,30000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
5259,University of California - Los Angeles (UCLA),Political Science,0.93,2017-2018,1st,Expecting more for such an expensive city,1,2017,24000,0,20000,4000,24000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
5260,University of California - Los Angeles (UCLA),Political Science,0.93,2017-2018,1st,Expecting more for such and expensive city,1,2017,24000,0,20000,4000,24000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
5261,Johns Hopkins University (JHU),History,1.21,2017-2018,1st,Plus relocation fee and insurance,1,2017,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0,Johns Hopkins University JHU_HistPolSoc
5263,Northwestern University (NU),history,1.34,2017-2018,1st,,1,2017,32600,32600,0,0,32600,HistPolSoc,HistPolSoc,low,0,0,Northwestern University NU_HistPolSoc
5272,University of California - San Diego (UCSD),Political Science,0.86,2017-2018,1st,,1,2017,22730,0,18000,5000,23000,HistPolSoc,HistPolSoc,high,270,270,University of California - San Diego UCSD_HistPolSoc
5277,University of North Carolina - Chapel Hill (UNC),Political Science,0.81,2017-2018,1st,,1,2017,18000,0,17000,3000,20000,HistPolSoc,HistPolSoc,high,2000,2000,University of North Carolina - Chapel Hill UNC_HistPolSoc
5283,Michigan State University (MSU),political science,0.98,2017-2018,1st,,1,2017,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,Michigan State University MSU_HistPolSoc
5284,University of North Carolina - Chapel Hill (UNC),Sociology,0.9,2016-2017,1st,,1,2016,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
5306,University of Rochester (UR),Chemistry,1.26,2017-2018,1st,Waive $600 Mandatory Health Fee,1,2017,27000,27000,0,0,27000,Chemistry,Chemistry,low,0,0,University of Rochester UR_Chemistry
5307,University of Rochester (UR),Chemistry,0.13,2017-2018,1st,Waive $600 mandatory health fee,1,2017,2700,2700,0,0,2700,Chemistry,Chemistry,low,0,0,University of Rochester UR_Chemistry
5317,Stanford University (SU),Anthropology,1.22,2017-2018,3rd,,3,2017,35000,35000,0,0,35000,Biology,Biology,low,0,0,Stanford University SU_Biology
5318,University of Texas - Dallas (UTD),Materials Science and Engineering,1.28,2016-2017,3rd,,3,2016,27600,27600,0,0,27600,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
5319,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,1.16,2017-2018,2nd,,2,2017,27000,27000,0,0,27000,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering
5324,University of California - Los Angeles (UCLA),Ecology and Evolutionary Biology,1.1,2014-2015,5th,,5,2014,26000,26000,0,0,26000,Biology,Biology,low,0,0,University of California - Los Angeles UCLA_Biology
5332,University of Illinois - Urbana- Champaign (UIUC),Chemistry,1.14,2017-2018,1st,Half-time assistantship for Fall 2018 and Spring 2019. ,1,2017,25000,0,17420,8580,26000,Chemistry,Chemistry,high,1000,1000,University of Illinois - Urbana- Champaign UIUC_Chemistry
