,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept,Overall_Pay_corr,Fees_corr,Dep_LeftRight
494,University of Delaware (UD),Materials Science and Engineering,1.06,2018-2019,4th,,4,2018,26800,27800,0,0,27800,Engineering,Engineering,low,1000,1000,University of Delaware UD_Engineering,25283.018867924526,943.3962264150942,0
495,University of Delaware (UD),chemical engineering,1.21,2018-2019,1st,,1,2018,30773,31500,0,0,31500,Engineering,Engineering,low,727,727,University of Delaware UD_Engineering,25432.23140495868,600.8264462809917,0
496,University of California - Berkeley,History ,1.3,2018-2019,1st,,1,2018,36000,0,31500,4500,36000,HistPolSoc,HistPolSoc,high,0,0,University of California - Berkeley_HistPolSoc,27692.30769230769,0.0,1
497,University of Delaware (UD),Chemical Engineering,1.21,2019-2020,1st,,1,2019,30804,31500,0,0,31500,Engineering,Engineering,low,696,696,University of Delaware UD_Engineering,25457.85123966942,575.2066115702479,0
498,University of Minnesota - Twin Cities (UM),Chemical Engineering,1.37,2019-2020,1st,,1,2019,31500,31500,0,0,31500,Engineering,Engineering,low,0,0,University of Minnesota - Twin Cities UM_Engineering,22992.700729927004,0.0,0
499,University of Michigan - Ann Arbor (UM),Chemical Engineering,1.4,2019-2020,1st,,1,2019,32200,32200,0,0,32200,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering,23000.0,0.0,0
500,University of Colorado - Boulder (UCB),Chemical Engineering,1.21,2019-2020,1st,,1,2019,30756,32136,0,0,32136,Engineering,Engineering,low,1380,1380,University of Colorado - Boulder UCB_Engineering,25418.18181818182,1140.495867768595,0
501,Rice University,Civil and Environmental Engineering,1.17,2018-2019,1st,,1,2018,25600,26000,0,0,26000,Engineering,Engineering,low,400,400,Rice University_Engineering,21880.341880341883,341.8803418803419,0
502,Massachusetts Institute of Technology (MIT),Physics,1.39,2018-2019,3rd,$3263/month stipend + health insurance. Every student in department receives Sci. & Eng. TA (contact) rate annually regardless of funding source (RA/TA/Fellow).,3,2018,38844,39156,0,0,39156,PhysicsAndAstronomy,PhysicsAndAstronomy,low,312,312,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy,27945.323741007196,224.46043165467628,0
503,New York University (NYU),Sociology,0.9,2018-2019,4th,,4,2018,26700,0,26700,0,26700,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc,29666.666666666664,0.0,1
504,University of Texas - Austin (UT),Materials Science and Engineering,1.45,2018-2019,4th,,4,2018,33000,33000,0,0,33000,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering,22758.620689655174,0.0,0
505,University of Rochester (UR),math,0.84,2018-2019,3rd,,3,2018,18000,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Rochester UR_MathematicsAndComputer Science,21428.57142857143,0.0,0
506,University of Rochester (UR),Mathematics,0.82,2018-2019,5th,Some teaching positions in the summer available,5,2018,17450,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,550,550,University of Rochester UR_MathematicsAndComputer Science,21280.48780487805,670.7317073170732,0
507,University of Rochester (UR),Mathematics,0.93,2018-2019,5th,"Also around $250 for parking. Opportunities for summer teaching for 3rd years and up. I'm paid with a fellowship, I believe the standard stipend is $18,000",5,2018,19980,0,20000,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,20,20,University of Rochester UR_MathematicsAndComputer Science,21483.870967741936,21.50537634408602,0
508,University of Rochester (UR),Mathematics,1.1,2018-2019,4th,Health insurance mandatory but not included. ,4,2018,23500,0,21000,2500,23500,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Rochester UR_MathematicsAndComputer Science,21363.63636363636,0.0,0
509,University of Rochester (UR),Mathematics,0.84,2018-2019,1st,Mandatory health fee is paid by the university. Health insurance is not paid by the university.  Some students may get a summer teaching job which pays about $2800 in total. ,1,2018,18000,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Rochester UR_MathematicsAndComputer Science,21428.57142857143,0.0,0
510,New York University (NYU),Biology,1.31,2018-2019,2nd,,2,2018,39000,39000,0,0,39000,Biology,Biology,low,0,0,New York University NYU_Biology,29770.992366412214,0.0,0
511,University of Maryland - College Park (UMD),Chemical and Biomolecular Engineering,1.01,2018-2019,1st,,1,2018,30535,32155,0,0,32155,Engineering,Engineering,low,1620,1620,University of Maryland - College Park UMD_Engineering,30232.673267326732,1603.960396039604,0
512,University of California - San Francisco (UCSF),Neuroscience,1.27,2018-2019,1st,Healthcare + gym membership included,1,2018,38000,38000,0,0,38000,Medical,Medical,low,0,0,University of California - San Francisco UCSF_Medical,29921.259842519685,0.0,0
513,University of California - Riverside (UCR),Psychology,0.75,2018-2019,2nd,"$18k during school year and $3-5k during summer; however, they don't pay you during the summer which makes it extremely difficult... they pay you after summer is over",2,2018,18000,18000,0,0,18000,HistPolSoc,HistPolSoc,low,0,0,University of California - Riverside UCR_HistPolSoc,24000.0,0.0,1
514,University of California - Los Angeles (UCLA),Molecular Biology,1.24,2017-2018,5th,,5,2017,32000,32000,0,0,32000,Biology,Biology,low,0,0,University of California - Los Angeles UCLA_Biology,25806.451612903227,0.0,0
515,Duke University (DU),Biomedical Engineering,1.98,2018-2019,1st,Health and dental insurance included. Received two internal fellowships and bonus for NSF-GRFP.,1,2018,44000,44000,0,0,44000,Engineering,Engineering,low,0,0,Duke University DU_Engineering,22222.222222222223,0.0,0
516,University of Rochester (UR),Biochemistry,1.48,2017-2018,3rd,,3,2017,31600,31600,0,0,31600,Chemistry,Chemistry,low,0,0,University of Rochester UR_Chemistry,21351.35135135135,0.0,0
517,University of Rochester (UR),Mechanical Engineering,1.31,2018-2019,1st,The required fee is for healthcare. I could also get healthcare from another source.,1,2018,28000,32000,0,0,32000,Engineering,Engineering,low,4000,4000,University of Rochester UR_Engineering,21374.045801526718,3053.4351145038167,0
518,Rice University,Biosciences,1.33,2018-2019,1st,,1,2018,29000,30000,0,0,30000,Biology,Biology,low,1000,1000,Rice University_Biology,21804.51127819549,751.8796992481202,0
519,University of Michigan - Ann Arbor (UM),Political Science,1.33,2018-2019,1st,Summer funding is guaranteed for years 1-3,1,2018,30598,0,20399,10199,30598,HistPolSoc,HistPolSoc,high,0,0,University of Michigan - Ann Arbor UM_HistPolSoc,23006.015037593985,0.0,1
520,University of Texas - Austin (UT),Mechanical Engineering ,1.06,2018-2019,1st,Full tuition waiver and health insurance coverage. ,1,2018,24300,25080,0,0,25080,Engineering,Engineering,low,780,780,University of Texas - Austin UT_Engineering,22924.528301886792,735.8490566037735,0
521,Arizona State University (ASU),Psychology,0.61,2016-2017,1st,,1,2016,13500,13500,0,0,13500,HistPolSoc,HistPolSoc,low,0,0,Arizona State University ASU_HistPolSoc,22131.147540983606,0.0,1
522,University of Colorado - Boulder (UCB),Materials Science and Engineering,1.15,2018-2019,1st,,1,2018,29200,31000,0,0,31000,Engineering,Engineering,low,1800,1800,University of Colorado - Boulder UCB_Engineering,25391.304347826088,1565.217391304348,0
523,University of Virginia (UVA),Materials Science and Engineering,1.23,2018-2019,5th,"Dept. stipend has increased as of last year.  Starts with 25k, then 27k after passing qualifying exam, 28k after completing proposal.  Bonus for publishing first paper.  Salary increases by a few percent each fall with CPI (consumer price index).  ",5,2018,28000,28000,0,0,28000,Engineering,Engineering,low,0,0,University of Virginia UVA_Engineering,22764.227642276423,0.0,0
524,Rice University,Anthropology,0.98,2018-2019,3rd,,3,2018,21500,21500,0,0,21500,Biology,Biology,low,0,0,Rice University_Biology,21938.775510204083,0.0,0
525,University of California - Berkeley,Sociology ,1.1,2018-2019,1st,"Additionally received a $4,000 GSR ship for the summer. Totaling $34,500 for the year. ",1,2018,30500,30500,0,0,30500,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc,27727.272727272724,0.0,1
526,University of Chicago (UC),Psychology,1.22,2018-2019,1st,,1,2018,29525,0,27000,3000,30000,HistPolSoc,HistPolSoc,high,475,475,University of Chicago UC_HistPolSoc,24200.819672131147,389.344262295082,1
527,University of Southern California (USC),History,1.31,2018-2019,1st,,1,2018,34000,34000,0,0,34000,HistPolSoc,HistPolSoc,low,0,0,University of Southern California USC_HistPolSoc,25954.198473282442,0.0,1
528,University of Wisconsin - Madison (UW),Chemistry,1.12,2018-2019,2nd,,2,2018,25500,26700,0,0,26700,Chemistry,Chemistry,low,1200,1200,University of Wisconsin - Madison UW_Chemistry,22767.85714285714,1071.4285714285713,0
529,University of Chicago (UC),Comparative Literature,1.18,2018-2019,1st,,1,2018,28531,0,27000,3000,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,1469,1469,University of Chicago UC_LinguisticsAndCommunication,24178.813559322036,1244.9152542372883,1
530,University of California - Riverside (UCR),Political Science,0.49,2018-2019,1st,"Dean's Distinguished Fellowship Award(non-resident tuition+ stipend) for the first year. Guaranteed TAship for the following years equals to 6,884 per quarter. ",1,2018,11900,0,11900,0,11900,HistPolSoc,HistPolSoc,high,0,0,University of California - Riverside UCR_HistPolSoc,24285.714285714286,0.0,1
534,University of California - Berkeley,Chemistry,1.55,2018-2019,3rd,This is on an NSF GRFP plus additional stipend for teaching.,3,2018,43000,43000,0,0,43000,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry,27741.935483870966,0.0,0
535,University of Southern California (USC),Political Science,1.26,2018-2019,1st,,1,2018,32500,0,30000,2500,32500,HistPolSoc,HistPolSoc,high,0,0,University of Southern California USC_HistPolSoc,25793.650793650795,0.0,1
536,University of Minnesota - Twin Cities (UM),Biomedical Engineering ,1.01,2018-2019,2nd,,2,2018,23200,0,18000,6000,24000,Engineering,Engineering,high,800,800,University of Minnesota - Twin Cities UM_Engineering,22970.29702970297,792.0792079207921,0
537,Purdue University - West Lafayette,Mechanical Engineering,1.77,2018-2019,1st,Fellowship plus 1/4 time Grad Assistant Position,1,2018,37500,37500,0,0,37500,Engineering,Engineering,low,0,0,Purdue University - West Lafayette_Engineering,21186.4406779661,0.0,0
538,Brown University,Sociology,1.41,2017-2018,1st,,1,2017,32000,0,27000,5000,32000,HistPolSoc,HistPolSoc,high,0,0,Brown University_HistPolSoc,22695.03546099291,0.0,1
539,University of Rochester (UR),Mechanical Engineering ,1.36,2018-2019,1st,,1,2018,29000,29000,0,0,29000,Engineering,Engineering,low,0,0,University of Rochester UR_Engineering,21323.529411764703,0.0,0
540,University of Pittsburgh,Political Science,1.11,2018-2019,1st,,1,2018,23000,23000,0,0,23000,HistPolSoc,HistPolSoc,low,0,0,University of Pittsburgh_HistPolSoc,20720.720720720718,0.0,1
541,University of Pittsburgh,Political Science,0.82,2018-2019,2nd,,2,2018,17000,17000,0,0,17000,HistPolSoc,HistPolSoc,low,0,0,University of Pittsburgh_HistPolSoc,20731.70731707317,0.0,1
542,Duke University (DU),Music,1.3,2018-2019,5th,,5,2018,28850,28850,0,0,28850,ArtsAndTheology,ArtsAndTheology,low,0,0,Duke University DU_ArtsAndTheology,22192.30769230769,0.0,1
543,University of Minnesota - Twin Cities (UM),Biomedical Engineering,1.29,2018-2019,1st,,1,2018,29500,29500,0,0,29500,Engineering,Engineering,low,0,0,University of Minnesota - Twin Cities UM_Engineering,22868.217054263565,0.0,0
544,University of Rochester (UR),Biostatistics,1.12,2018-2019,1st,,1,2018,24000,0,24000,0,24000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Rochester UR_MathematicsAndComputer Science,21428.571428571428,0.0,0
545,Stanford University (SU),Political Science,1.4,2018-2019,1st,"5K summer, 1K for discretionary support, healthcare benefits ",1,2018,40350,0,34350,6000,40350,HistPolSoc,HistPolSoc,high,0,0,Stanford University SU_HistPolSoc,28821.428571428572,0.0,1
546,University of California - Los Angeles (UCLA),political science,1.12,2018-2019,1st,,1,2018,29000,0,25000,4000,29000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc,25892.85714285714,0.0,1
547,University of California - Los Angeles (UCLA),political science,0.69,2018-2019,1st,,1,2018,17794,0,25000,4000,29000,HistPolSoc,HistPolSoc,high,11206,11206,University of California - Los Angeles UCLA_HistPolSoc,25788.40579710145,16240.579710144928,1
548,University of Wisconsin - Madison (UW),Chemistry,1.14,2018-2019,3rd,,3,2018,26000,26500,0,0,26500,Chemistry,Chemistry,low,500,500,University of Wisconsin - Madison UW_Chemistry,22807.017543859653,438.5964912280702,0
549,University of Wisconsin - Madison (UW),Sociology,0.97,2018-2019,1st,,1,2018,22100,22100,0,0,22100,HistPolSoc,HistPolSoc,low,0,0,University of Wisconsin - Madison UW_HistPolSoc,22783.505154639177,0.0,1
550,Virginia Tech,Civil Engineering,2.07,2018-2019,1st,,1,2018,43692,43992,0,0,43992,Engineering,Engineering,low,300,300,Virginia Tech_Engineering,21107.246376811596,144.92753623188406,0
551,University of Illinois - Urbana- Champaign (UIUC),Accounting,1.36,2018-2019,1st,,1,2018,30000,30000,0,0,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Illinois - Urbana- Champaign UIUC_MathematicsAndComputer Science,22058.823529411762,0.0,0
552,University of Colorado - Boulder (UCB),Engineering,1.31,2018-2019,2nd,,2,2018,33500,36000,0,0,36000,Engineering,Engineering,low,2500,2500,University of Colorado - Boulder UCB_Engineering,25572.519083969466,1908.3969465648854,0
553,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.44,2015-2016,2nd,,2,2015,33500,33500,0,0,33500,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering,23263.88888888889,0.0,0
554,Northwestern University (NU),Chemical and Biological Engineering,1.29,2017-2018,5th,,5,2017,31360,31800,0,0,31800,Engineering,Engineering,low,440,440,Northwestern University NU_Engineering,24310.077519379844,341.08527131782944,0
555,Carnegie Mellon University (CMU),Chemical Engineering,1.4,2017-2018,1st,,1,2017,29000,29000,0,0,29000,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering,20714.285714285717,0.0,0
556,Massachusetts Institute of Technology (MIT),Physics,0.12,2017-2018,1st,,1,2017,3250,3250,0,0,3250,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy,27083.333333333336,0.0,0
557,University of Southern California (USC),Linguistics,1.56,2017-2018,3rd,Summer funding not guaranteed (but I've gotten it every summer so far),3,2017,40438,0,34000,6500,40500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,62,62,University of Southern California USC_LinguisticsAndCommunication,25921.79487179487,39.743589743589745,1
558,Indiana University,Public Policy,0.84,2017-2018,1st,,1,2017,18200,20000,0,0,20000,HistPolSoc,HistPolSoc,low,1800,1800,Indiana University_HistPolSoc,21666.666666666668,2142.857142857143,1
559,Purdue University - West Lafayette,Chemical Engineering,1.56,2017-2018,1st,,1,2017,33000,33000,0,0,33000,Engineering,Engineering,low,0,0,Purdue University - West Lafayette_Engineering,21153.846153846152,0.0,0
560,University of Texas - Austin (UT),Cell and Molecular Biology,1.31,2017-2018,5th,,5,2017,30000,30000,0,0,30000,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology,22900.763358778626,0.0,0
562,Vanderbilt University,History,1.13,2017-2018,1st,Additional Provost's Fellowship of 5K,1,2017,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc,23008.849557522128,0.0,1
563,University of California - Los Angeles (UCLA),psychology,0.46,2016-2017,4th,,4,2016,12000,0,12000,0,12000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc,26086.95652173913,0.0,1
564,University of Texas - Austin (UT),Aerospace Engineering,1.12,2017-2018,1st,,1,2017,25525,25525,0,0,25525,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering,22790.17857142857,0.0,0
565,Emory University,Biochemistry,1.28,2017-2018,1st,,1,2017,29700,30000,0,0,30000,Chemistry,Chemistry,low,300,300,Emory University_Chemistry,23203.125,234.375,0
566,Vanderbilt University,Political Science,1.13,2017-2018,1st,,1,2017,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc,23008.849557522128,0.0,1
567,University of Southern California (USC),Psychology ,1.49,2017-2018,1st,,1,2017,38500,0,30000,8500,38500,HistPolSoc,HistPolSoc,high,0,0,University of Southern California USC_HistPolSoc,25838.926174496646,0.0,1
568,California Institute of Technology (Caltech),Mechanical Engineering,1.35,2017-2018,1st,,1,2017,35000,35000,0,0,35000,Engineering,Engineering,low,0,0,California Institute of Technology Caltech_Engineering,25925.925925925923,0.0,0
570,University of Texas - Austin (UT),Biology,1.31,2017-2018,4th,,4,2017,30000,30000,0,0,30000,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology,22900.763358778626,0.0,0
571,University of Washington (UW),Chemistry,1.3,2017-2018,5th,,5,2017,30154,31300,0,0,31300,Chemistry,Chemistry,low,1146,1146,University of Washington UW_Chemistry,23195.384615384613,881.5384615384615,0
572,University of California - Irvine (UCI),Sociology,0.75,2017-2018,1st,"Funding is promised for 6 years. The base package includes a $15,000 out-of-state tuition waiver for the first year, a $2,000 dollar summer stipend before the first year,  and health insurance (Includes vision and dental!). ",1,2017,21884,0,20653,2000,22653,HistPolSoc,HistPolSoc,high,769,769,University of California - Irvine UCI_HistPolSoc,29178.666666666668,1025.3333333333333,1
573,Yale University (YU),Genetics,1.4,2017-2018,4th,,4,2017,34600,34600,0,0,34600,Biology,Biology,low,0,0,Yale University YU_Biology,24714.285714285717,0.0,0
574,University of Maryland - College Park (UMD),Electrical Engineering,0.6,2017-2018,1st,9 month appointment as a Graduate Research Assistant (GRA). 3 months in the summer I will be interning at my professor's company with better payment.,1,2017,18093,0,18093,0,18093,Engineering,Engineering,high,0,0,University of Maryland - College Park UMD_Engineering,30155.0,0.0,0
575,University of Chicago (UC),Psychology,1.11,2017-2018,1st,,1,2017,27000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,3000,3000,University of Chicago UC_HistPolSoc,24324.324324324323,2702.7027027027025,1
576,Northwestern University (NU),Political Science,1.14,2016-2017,2nd,,2,2016,27600,27600,0,0,27600,HistPolSoc,HistPolSoc,low,0,0,Northwestern University NU_HistPolSoc,24210.526315789477,0.0,1
577,Pennsylvania State University (Penn State),Ecology,1.56,2017-2018,1st,,1,2017,35000,35000,0,0,35000,Geography,Geography,low,0,0,Pennsylvania State University Penn State_Geography,22435.897435897434,0.0,0
578,University of Rochester (UR),Computer Science,0.84,2016-2017,1st,,1,2016,18000,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Rochester UR_MathematicsAndComputer Science,21428.57142857143,0.0,0
579,University of Chicago (UC),History,0.98,2017-2018,3rd,"In your third year and up, you have TA responsibilities that are stupidly taken out of your stipend amount in the following increments: less $6k in your 3rd and 4th years, less $3k in your 5th. Thus, $25k is not a guarantee base stipend beyond your 2nd year--indeed, if you manage to teach more, it will be more, but if you can't find a position, you will suffer. Health care is covered, but there is a $380/quarter student life fee you pay for every quarter you are on campus, or unless you prove you are living 90 miles away. You apply for the $3k summer dispersement, and it is based on good progress. I do not know of anyone who does not get this. So, in a good year, you make $28k before fees.",3,2017,23860,25000,0,0,25000,HistPolSoc,HistPolSoc,low,1140,1140,University of Chicago UC_HistPolSoc,24346.938775510203,1163.265306122449,1
580,University of Chicago (UC),Public Policy,1.07,2017-2018,1st,,1,2017,25900,0,27000,0,27000,HistPolSoc,HistPolSoc,high,1100,1100,University of Chicago UC_HistPolSoc,24205.607476635512,1028.03738317757,1
581,University of Texas - Austin (UT),Government,1.18,2017-2018,1st,,1,2017,27000,27000,0,0,27000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc,22881.35593220339,0.0,1
582,Yale University (YU),Biological and Biomedical Sciences,1.42,2017-2018,1st,,1,2017,35150,35150,0,0,35150,Biology,Biology,low,0,0,Yale University YU_Biology,24753.521126760566,0.0,0
583,Emory University,Art History,0.99,2016-2017,3rd,,3,2016,23102,24000,0,0,24000,ArtsAndTheology,ArtsAndTheology,low,898,898,Emory University_ArtsAndTheology,23335.353535353537,907.070707070707,1
584,University of California - Los Angeles (UCLA),Aerospace Engineering,1.31,2017-2018,2nd,NSF GRFP,2,2017,34000,34000,0,0,34000,Engineering,Engineering,low,0,0,University of California - Los Angeles UCLA_Engineering,25954.198473282442,0.0,0
585,University of Minnesota - Twin Cities (UM),Mechanical Engineering,2.03,2017-2018,1st,,1,2017,46500,46500,0,0,46500,Engineering,Engineering,low,0,0,University of Minnesota - Twin Cities UM_Engineering,22906.403940886703,0.0,0
586,Yale University (YU),Economics,1.58,2017-2018,1st,,1,2017,39000,39000,0,0,39000,BusinessAndManagement,BusinessAndManagement,low,0,0,Yale University YU_BusinessAndManagement,24683.544303797466,0.0,0
587,Georgetown University,Government,1.1,2017-2018,1st,$14.5K each semester and $5K summers (must apply after the first year). One of the best offers out there for poli sci/government ,1,2017,34000,0,29000,5000,34000,HistPolSoc,HistPolSoc,high,0,0,Georgetown University_HistPolSoc,30909.090909090908,0.0,1
588,Johns Hopkins University (JHU),Sociology,1.15,2017-2018,1st,,1,2017,29500,29500,0,0,29500,HistPolSoc,HistPolSoc,low,0,0,Johns Hopkins University JHU_HistPolSoc,25652.17391304348,0.0,1
589,Brown University,Sociology,1.46,2017-2018,1st,First year covered by a fellowship in lieu of teaching for all incoming students.,1,2017,33180,33180,0,0,33180,HistPolSoc,HistPolSoc,low,0,0,Brown University_HistPolSoc,22726.027397260274,0.0,1
590,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,0.95,2017-2018,1st,,1,2017,21200,24000,0,0,24000,Engineering,Engineering,low,2800,2800,University of North Carolina - Chapel Hill UNC_Engineering,22315.78947368421,2947.3684210526317,0
591,University of North Carolina - Chapel Hill (UNC),Political Science,0.9,2017-2018,1st,"Update to the $15k record:
On top of the standard $17k package, received $3k summer funding, exclusion of a $2k student fee.",1,2017,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc,22222.222222222223,0.0,1
592,Emory University,Neuroscience,1.31,2017-2018,1st,Fees approx ,1,2017,30539,31000,0,0,31000,Medical,Medical,low,461,461,Emory University_Medical,23312.213740458013,351.9083969465649,0
593,Emory University,Sociology,1.03,2017-2018,1st,,1,2017,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,Emory University_HistPolSoc,23300.970873786406,0.0,1
594,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering ,1.57,2017-2018,1st,"$30,000 base stipend (COE RA also awarded for first year, but contract ""nullified"" effect of award ) + $5000, 1 year merit based award. All fees and insurance covered.",1,2017,35000,35000,0,0,35000,Engineering,Engineering,low,0,0,University of North Carolina - Chapel Hill UNC_Engineering,22292.993630573248,0.0,0
595,University of Chicago (UC),Sociology,1.65,2017-2018,2nd,,2,2017,40000,0,37000,3000,40000,HistPolSoc,HistPolSoc,high,0,0,University of Chicago UC_HistPolSoc,24242.424242424244,0.0,1
596,University of Chicago (UC),Sociology,1.53,2017-2018,1st,,1,2017,37000,0,37000,0,37000,HistPolSoc,HistPolSoc,high,0,0,University of Chicago UC_HistPolSoc,24183.006535947712,0.0,1
597,North Carolina State University (NCSU),Biomedical Engineering,1.23,2017-2018,1st,,1,2017,28000,28000,0,0,28000,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering,22764.227642276423,0.0,0
598,Drexel University (DU),Physics,0.97,2017-2018,1st,,1,2017,23500,23500,0,0,23500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy,24226.80412371134,0.0,0
599,Vanderbilt University,Political Science,1.35,2017-2018,1st,,1,2017,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc,22962.96296296296,0.0,1
600,Yale University (YU),Management,1.42,2017-2018,1st,,1,2017,35100,35100,0,0,35100,BusinessAndManagement,BusinessAndManagement,low,0,0,Yale University YU_BusinessAndManagement,24718.30985915493,0.0,0
601,Yale University (YU),Sociology,1.25,2017-2018,1st,"""Stipend of at least $31,000 per year while you are enrolled"" - 2018-19.",1,2017,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc,24800.0,0.0,1
602,University of California - Los Angeles (UCLA),Psychology,1.57,2016-2017,4th,This was a T32 fellowship on top of serving as a TA every quarter.,4,2016,40610,41000,0,0,41000,HistPolSoc,HistPolSoc,low,390,390,University of California - Los Angeles UCLA_HistPolSoc,25866.24203821656,248.4076433121019,1
603,University of California - San Diego (UCSD),Sociology,0.76,2017-2018,1st,Includes Health Insurance,1,2017,20000,52121,0,0,52121,HistPolSoc,HistPolSoc,low,32121,32121,University of California - San Diego UCSD_HistPolSoc,26315.78947368421,42264.47368421053,1
604,Harvard University (HU),Sociology,1.21,2017-2018,1st,,1,2017,34632,0,28860,5772,34632,HistPolSoc,HistPolSoc,high,0,0,Harvard University HU_HistPolSoc,28621.487603305784,0.0,1
605,New York University (NYU),Biology,1.21,2016-2017,2nd,,2,2016,36000,36000,0,0,36000,Biology,Biology,low,0,0,New York University NYU_Biology,29752.06611570248,0.0,0
606,Drexel University (DU),Environmental Engineering,1.0,2017-2018,1st,,1,2017,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Drexel University DU_Engineering,24000.0,0.0,0
607,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.35,2017-2018,1st,,1,2017,31500,31500,0,0,31500,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering,23333.333333333332,0.0,0
608,University of Illinois - Urbana- Champaign (UIUC),English,1.14,2016-2017,1st,,1,2016,25000,25000,0,0,25000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication,21929.82456140351,0.0,1
609,University of Illinois - Urbana- Champaign (UIUC),English,0.99,2016-2017,1st,,1,2016,21817,21817,0,0,21817,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication,22037.37373737374,0.0,1
610,University of Chicago (UC),English,0.74,2016-2017,1st,,1,2016,18000,18000,0,0,18000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Chicago UC_LinguisticsAndCommunication,24324.324324324323,0.0,1
611,University of Chicago (UC),English,1.24,2016-2017,1st,,1,2016,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Chicago UC_LinguisticsAndCommunication,24193.548387096773,0.0,1
612,University of Chicago (UC),English,1.36,2016-2017,1st,,1,2016,33000,33000,0,0,33000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Chicago UC_LinguisticsAndCommunication,24264.70588235294,0.0,1
613,Emory University,English,1.03,2016-2017,1st,,1,2016,24000,24000,0,0,24000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,Emory University_LinguisticsAndCommunication,23300.970873786406,0.0,1
614,University of Colorado - Boulder (UCB),English,0.86,2016-2017,1st,,1,2016,22000,22000,0,0,22000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Colorado - Boulder UCB_LinguisticsAndCommunication,25581.39534883721,0.0,1
